id,features
110,"[-0.811116635799408, 0.13397663831710815, -0.4480969309806824, 0.2018546611070633, -0.2372378706932068, -0.10622917860746384, 0.6263105273246765, 0.02624404802918434, -0.3138240575790405, -0.5491620302200317, -0.10807828605175018, -0.43290624022483826, -0.34455686807632446, -0.04199143499135971, -0.35615864396095276, 0.6327376961708069, 0.5234023928642273, 0.11516528576612473, 0.21265298128128052, -0.4377414286136627, 0.18893146514892578, 0.05683930963277817, -0.042178843170404434, 0.1245460957288742, -0.08967805653810501, 0.23208047449588776, -0.009614561684429646, 0.6251038312911987, -0.08701825886964798, -0.26518911123275757]"
120,"[-1.0527008771896362, 0.23500356078147888, -0.18002136051654816, 0.4766403138637543, -0.39939084649086, 0.18845972418785095, 0.5452205538749695, -0.21336813271045685, -0.4312592148780823, 0.1648862659931183, 0.15436603128910065, -0.2695072293281555, -0.3514271080493927, 0.19387510418891907, -0.3632737398147583, 0.6043092608451843, 0.6146216988563538, 0.28537604212760925, 0.07540122419595718, -0.5321778059005737, 0.33810606598854065, -0.20701001584529877, 0.4585248827934265, 0.24464571475982666, -0.004544814582914114, -0.10733744502067566, 0.4221458435058594, 0.015138103626668453, 0.10750856250524521, -0.08202110975980759]"
130,"[-0.6493906378746033, 0.5893599390983582, -0.3000779449939728, 0.832078218460083, -0.7919543981552124, 0.12113236635923386, 0.2419128268957138, -0.25738927721977234, -0.5987078547477722, -0.33977261185646057, 0.12779365479946136, -0.15988890826702118, -0.4764424264431, -0.08341127634048462, -0.31625184416770935, 0.41985875368118286, 0.4954448640346527, -0.03295483812689781, -0.22869202494621277, 0.25843629240989685, 0.005689078941941261, -0.363891065120697, 0.09192299097776413, 0.3962678909301758, -0.3841889798641205, -0.1182790994644165, 0.423134982585907, 0.5691319108009338, -0.2856591045856476, -0.34337636828422546]"
140,"[-0.5301366448402405, 0.5266755223274231, -0.1758216917514801, 0.4828397035598755, -0.7169184684753418, 0.06415608525276184, 0.7005414366722107, -0.023235365748405457, 0.04107016324996948, -0.07224485278129578, -0.0967937484383583, -0.03403995931148529, -0.4675891399383545, -0.39121440052986145, -0.41173428297042847, 0.5478308796882629, 0.06907005608081818, -0.10824123024940491, 0.1988757848739624, -0.1597410887479782, 0.42953741550445557, -0.4631898105144501, 0.5751122832298279, 0.2736702859401703, 0.056292057037353516, -0.09531734138727188, 0.1584368646144867, 0.6819235682487488, 0.06079023331403732, -0.1273011565208435]"
150,"[-0.5692154765129089, 0.19037804007530212, -0.10797162353992462, 0.3253890573978424, -0.636940062046051, 0.1234293282032013, 0.5019292831420898, 0.32116737961769104, -0.04545517638325691, -0.17532725632190704, 0.16525106132030487, -0.6040232181549072, -0.6376681327819824, -0.47797244787216187, -0.3572067618370056, 0.6736014485359192, 0.3262205421924591, 0.2917962968349457, 0.4235687553882599, -0.2721632421016693, 0.16549748182296753, -0.19633041322231293, 0.3665413558483124, 0.3377707004547119, -0.09961359202861786, -0.10447072237730026, 0.1497461348772049, 0.5134525895118713, -0.07336920499801636, -0.5395302176475525]"
160,"[-0.9677658677101135, 0.6062076091766357, -0.3390198051929474, 0.21063904464244843, -0.20335862040519714, 0.2361222207546234, 0.5283198356628418, -0.025919238105416298, -0.7114993929862976, 0.06855147331953049, 0.08074592798948288, -0.5635207295417786, -0.5280338525772095, -0.27379313111305237, -0.19950206577777863, 0.4992183446884155, 0.005194368772208691, 0.22709202766418457, -0.001151314121671021, 0.010186824947595596, -0.18630298972129822, 0.13608084619045258, 0.09395620226860046, 0.2716984748840332, -0.40980058908462524, 1.031105637550354, -0.36379560828208923, 0.4611458480358124, 0.5899534821510315, 0.3345061242580414]"
170,"[-0.3174298405647278, 0.010901741683483124, -0.09663307666778564, 0.4759128987789154, -0.6397300362586975, 0.07436695694923401, 0.559088408946991, -0.3951859176158905, -0.121487095952034, 0.09491081535816193, 0.04544137790799141, -0.1830638349056244, -0.6196028590202332, -0.4458080232143402, -0.24687208235263824, 0.737662672996521, 0.35890066623687744, -0.3412875533103943, 0.2800545394420624, -0.2551969289779663, 0.18389533460140228, -0.168899804353714, 0.2823994755744934, 0.44658276438713074, -0.20900526642799377, -0.2150852382183075, 0.43196752667427063, 0.45852187275886536, -0.028902176767587662, 0.1008015125989914]"
180,"[-0.8194724917411804, 0.194192573428154, -0.06751295179128647, 0.5012520551681519, -0.6348201632499695, -0.03342729061841965, 0.554840087890625, -0.0965256318449974, -0.5559880137443542, -0.055287063121795654, 0.003532703500241041, -0.16052736341953278, -0.3515181839466095, 0.018635541200637817, -0.5345003008842468, 0.23547235131263733, 0.0012136487057432532, 0.1012108325958252, 0.268866628408432, -0.406381219625473, 0.4153713583946228, -0.40898552536964417, 0.22600430250167847, 0.4513340890407562, -0.11343436688184738, 0.2359571009874344, -0.1953614503145218, 0.35420283675193787, 0.11768043786287308, -0.31282949447631836]"
190,"[-0.7408034205436707, 0.085849829018116, -0.40848901867866516, 0.4883010983467102, -0.4230143427848816, 0.40987488627433777, 0.2887875437736511, -0.08207785338163376, -0.17784444987773895, -0.22294388711452484, -0.00929968524724245, -0.5572774410247803, -0.4406042695045471, -0.4103659391403198, -0.1318712830543518, 0.7316638231277466, 0.3077956438064575, 0.15021926164627075, 0.15427111089229584, -0.2660887837409973, 0.38900694251060486, -0.05030728504061699, 0.23933668434619904, 0.34826719760894775, 0.05072588473558426, 0.24627412855625153, -0.11756033450365067, 0.4968411922454834, 9.711296297609806e-05, -0.03160726651549339]"
200,"[-0.5789521336555481, 0.1695299595594406, -0.29329273104667664, 0.5028707981109619, -0.7298544049263, 0.1752842664718628, 0.4926171600818634, 0.09585249423980713, -0.05091846361756325, 0.0933704525232315, -0.07347960025072098, 0.1039639413356781, -0.6293792724609375, -0.16701284050941467, -0.5016080141067505, 0.5501563549041748, 0.8928881287574768, 0.5129468441009521, 0.6143355965614319, -0.20383897423744202, 0.11259768158197403, -0.3423044681549072, 0.2640848457813263, 0.5072084069252014, -0.009171916171908379, 0.09857466071844101, 0.44787588715553284, 0.4356961250305176, -0.1668470948934555, -0.28025487065315247]"
210,"[-0.8343477845191956, 0.02387334406375885, -0.260983943939209, 0.43623068928718567, -0.4072771370410919, -0.22182855010032654, 0.30628153681755066, -0.07782995700836182, -0.6967350244522095, 0.410306841135025, -0.3678564131259918, 0.17969605326652527, -0.8516120910644531, -0.7353131771087646, -0.8244110345840454, -0.08243962377309799, 0.7238665223121643, -0.21090395748615265, 0.22719386219978333, -0.3355281352996826, 0.036926593631505966, -0.19642743468284607, 0.9392650127410889, -0.00045707623939961195, 0.3698979616165161, -0.21956920623779297, 0.6895114779472351, 0.2826824486255646, -0.17497865855693817, 0.20479585230350494]"
220,"[-1.0051796436309814, -0.10952906310558319, -0.563179612159729, 0.2644800841808319, -0.4255400002002716, 0.10230846703052521, 0.9020834565162659, -0.17384907603263855, -0.42060863971710205, 0.627891480922699, -0.19345815479755402, 0.12991271913051605, -0.6469719409942627, 0.0006816842942498624, -0.08562682569026947, 0.6435189247131348, 0.4187939167022705, -0.154981791973114, 0.14268021285533905, -0.2743249535560608, 0.23403167724609375, -0.45756760239601135, 0.5098386406898499, 0.21054881811141968, 0.3583316504955292, -0.047950200736522675, -0.020151423290371895, 0.9152032136917114, -0.18303018808364868, -0.25002238154411316]"
230,"[-0.2782193720340729, -0.2859674096107483, -0.06614471971988678, 0.10399211198091507, -0.43135249614715576, -0.13437825441360474, 0.3073797821998596, 0.30727335810661316, 0.0835196003317833, -0.38498562574386597, -0.001870858483016491, -0.05634468421339989, -0.5828453898429871, -0.7096638679504395, -0.38746970891952515, 0.6164476275444031, 0.45709046721458435, 0.35601627826690674, -0.18838445842266083, -0.1785554140806198, -0.4289076328277588, -0.6428431272506714, 0.2868594527244568, 0.3425823748111725, -0.3845254182815552, -0.09791721403598785, 0.540119469165802, 0.28837916254997253, 0.09444194287061691, -0.14715726673603058]"
240,"[-0.6649810671806335, 0.0700303241610527, -0.2915041148662567, 0.5227473974227905, -0.5943570137023926, -0.08444923162460327, 0.23015296459197998, -0.1744241565465927, -0.4716755151748657, -0.0920993909239769, 0.0749693438410759, -0.1373516172170639, -0.8776071667671204, -0.7936353087425232, -0.4728148877620697, 0.396513432264328, 0.9170224070549011, 0.2364569902420044, 0.011093012988567352, -0.12431741505861282, 0.12145400047302246, -0.4481029808521271, 0.1251966804265976, 0.5502815842628479, -0.7286859154701233, -0.7743527889251709, 0.2628805339336395, 0.738797664642334, -0.13480813801288605, 0.14452464878559113]"
250,"[-0.7885124683380127, 0.10197171568870544, -0.4181305170059204, 0.35914352536201477, -0.4832601547241211, -0.09744026511907578, 0.8841692209243774, 0.07653354853391647, -0.21835264563560486, -0.3128405213356018, 0.18638908863067627, 0.23605915904045105, -0.4286765456199646, -0.6944167017936707, -0.32982587814331055, 0.8787920475006104, 0.1430022418498993, 0.060997601598501205, -0.24466830492019653, -0.5097509622573853, 0.5361226201057434, 0.10638992488384247, 0.23752084374427795, 0.4376513659954071, -0.002431412460282445, 0.04643094539642334, 0.48546284437179565, 0.8087651133537292, -0.15588334202766418, 0.02878429926931858]"
260,"[-0.4872162938117981, 0.07962878793478012, -0.5364534854888916, 0.13302679359912872, -0.5393852591514587, -0.2653902769088745, 0.2050582617521286, -0.009036557748913765, -0.4513826370239258, 0.037097033113241196, 0.11027728021144867, -0.2854113280773163, -0.6459622383117676, -0.332308292388916, -0.3176670968532562, 0.9055153131484985, 0.3155685365200043, 0.29663532972335815, 0.04492715001106262, -0.2758144438266754, -0.1573941707611084, -0.33516407012939453, 0.39911529421806335, 0.4331014156341553, 0.24176834523677826, 0.5972126126289368, 0.14873157441616058, 0.9465420842170715, 0.20606113970279694, -0.0158784668892622]"
270,"[-0.3020584285259247, 0.1364712417125702, -0.46945324540138245, 0.09505521506071091, -0.6557844877243042, 0.1622186154127121, 1.0191911458969116, -0.229286789894104, -0.14335842430591583, -0.0859920084476471, -0.24988342821598053, -0.4976673126220703, -0.6602747440338135, -0.31479954719543457, -0.3379049301147461, 0.22242502868175507, 0.17018112540245056, 0.2745564877986908, 0.3041398227214813, -0.2930864989757538, 0.341828316450119, -0.31068193912506104, 0.1469733864068985, 0.561386227607727, 0.16262562572956085, 0.25592830777168274, -0.3869521915912628, 0.7111894488334656, 0.3938794434070587, 0.2668938636779785]"
280,"[-0.4247056841850281, 0.2362525314092636, -0.49230632185935974, 0.33110320568084717, -0.7241846323013306, 0.26890048384666443, 0.4645411968231201, 0.2461588829755783, -0.23168501257896423, -0.025793040171265602, 0.21315376460552216, -0.14313523471355438, -1.0614038705825806, -0.1830102503299713, -0.2255791276693344, 0.8618505001068115, 0.16803565621376038, -0.0312928780913353, -0.005112141370773315, -0.56389981508255, 0.11632910370826721, -0.3330596685409546, 0.3369908630847931, 0.5130397081375122, -0.0648828074336052, -0.045083530247211456, 0.2322053611278534, 0.4547079801559448, -0.0986962839961052, 0.01502951793372631]"
